country_name,country_iso2,week,category,weekly_rank,show_title
Argentina,AR,2025-02-09,Films,1,Kinda Pregnant
Argentina,AR,2025-02-02,Films,1,Lucca's World
Argentina,AR,2025-01-26,Films,1,Back in Action
Argentina,AR,2025-01-19,Films,1,Back in Action
Argentina,AR,2025-01-12,Films,1,The Secret Life of Pets 2
Argentina,AR,2025-01-05,Films,1,Number 24
Argentina,AR,2024-12-29,Films,1,Blacklight
Argentina,AR,2024-12-22,Films,1,Carry-On
Argentina,AR,2024-12-15,Films,1,Camp Crasher
Argentina,AR,2024-12-08,Films,1,Camp Crasher
Argentina,AR,2024-12-01,Films,1,Our Little Secret
Argentina,AR,2024-11-24,Films,1,Minions: The Rise of Gru
Argentina,AR,2024-11-17,Films,1,Let Go
Argentina,AR,2024-11-10,Films,1,Let Go
Argentina,AR,2024-11-03,Films,1,Don't Move
Argentina,AR,2024-10-27,Films,1,Don't Move
Argentina,AR,2024-10-20,Films,1,Justice
Argentina,AR,2024-10-13,Films,1,Breaking the Silence: The Maria Soledad Case
Argentina,AR,2024-10-06,Films,1,The Platform 2
Argentina,AR,2024-09-29,Films,1,American Assassin
Argentina,AR,2024-09-22,Films,1,Gifted
Argentina,AR,2024-09-15,Films,1,Rebel Ridge
Argentina,AR,2024-09-08,Films,1,Rebel Ridge
Argentina,AR,2024-09-01,Films,1,Incoming
Argentina,AR,2024-08-25,Films,1,The Union
Argentina,AR,2024-08-18,Films,1,I Can't Live Without You
Argentina,AR,2024-08-11,Films,1,Law Abiding Citizen
Argentina,AR,2024-08-04,Films,1,Don't Breathe 2
Argentina,AR,2024-07-28,Films,1,Find Me Falling
Argentina,AR,2024-07-21,Films,1,Vanished into the Night
Argentina,AR,2024-07-14,Films,1,Goyo
Argentina,AR,2024-07-07,Films,1,Goyo
Argentina,AR,2024-06-30,Films,1,A Family Affair
Argentina,AR,2024-06-23,Films,1,Trigger Warning
Argentina,AR,2024-06-16,Films,1,Under Paris
Argentina,AR,2024-06-09,Films,1,Under Paris
Argentina,AR,2024-06-02,Films,1,Colors of Evil: Red
Argentina,AR,2024-05-26,Films,1,Sing 2
Argentina,AR,2024-05-19,Films,1,The Courier
Argentina,AR,2024-05-12,Films,1,Mother of the Bride
Argentina,AR,2024-05-05,Films,1,Four Good Days
Argentina,AR,2024-04-28,Films,1,Lifemark
Argentina,AR,2024-04-21,Films,1,Woody Woodpecker Goes to Camp
Argentina,AR,2024-04-14,Films,1,The Tearsmith
Argentina,AR,2024-04-07,Films,1,Rest In Peace
Argentina,AR,2024-03-31,Films,1,Rest In Peace
Argentina,AR,2024-03-24,Films,1,Irish Wish
Argentina,AR,2024-03-17,Films,1,Damsel
Argentina,AR,2024-03-10,Films,1,Damsel
Argentina,AR,2024-03-03,Films,1,Code 8 Part II
Argentina,AR,2024-02-25,Films,1,The Abyss
Argentina,AR,2024-02-18,Films,1,Despicable Me 3
Argentina,AR,2024-02-11,Films,1,Despicable Me 3
Argentina,AR,2024-02-04,Films,1,Badland Hunters
Argentina,AR,2024-01-28,Films,1,Mindcage
Argentina,AR,2024-01-21,Films,1,Society of the Snow
Argentina,AR,2024-01-14,Films,1,Society of the Snow
Argentina,AR,2024-01-07,Films,1,Society of the Snow
Argentina,AR,2023-12-31,Films,1,Rebel Moon — Part One: A Child of Fire
Argentina,AR,2023-12-24,Films,1,Leave the World Behind
Argentina,AR,2023-12-17,Films,1,Leave the World Behind
Argentina,AR,2023-12-10,Films,1,Leave the World Behind
Argentina,AR,2023-12-03,Films,1,Women on the Edge
Argentina,AR,2023-11-26,Films,1,Leo
Argentina,AR,2023-11-19,Films,1,The Killer
Argentina,AR,2023-11-12,Films,1,F9: The Fast Saga
Argentina,AR,2023-11-05,Films,1,Locked In
Argentina,AR,2023-10-29,Films,1,Cold Pursuit
Argentina,AR,2023-10-22,Films,1,The Quake
Argentina,AR,2023-10-15,Films,1,Fair Play
Argentina,AR,2023-10-08,Films,1,Nowhere
Argentina,AR,2023-10-01,Films,1,Forgotten Love
Argentina,AR,2023-09-24,Films,1,The Deep House
Argentina,AR,2023-09-17,Films,1,Love at First Sight
Argentina,AR,2023-09-10,Films,1,A Day and a Half
Argentina,AR,2023-09-03,Films,1,You Are So Not Invited to My Bat Mitzvah
Argentina,AR,2023-08-27,Films,1,On the Line
Argentina,AR,2023-08-20,Films,1,Heart of Stone
Argentina,AR,2023-08-13,Films,1,Heart of Stone
Argentina,AR,2023-08-06,Films,1,Hidden Strike
Argentina,AR,2023-07-30,Films,1,Hidden Strike
Argentina,AR,2023-07-23,Films,1,Bird Box Barcelona
Argentina,AR,2023-07-16,Films,1,The Out-Laws
Argentina,AR,2023-07-09,Films,1,Old Henry
Argentina,AR,2023-07-02,Films,1,Through My Window 2: Across the Sea
Argentina,AR,2023-06-25,Films,1,Extraction 2
Argentina,AR,2023-06-18,Films,1,Extraction 2
Argentina,AR,2023-06-11,Films,1,Prisoners
Argentina,AR,2023-06-04,Films,1,A Beautiful Life
Argentina,AR,2023-05-28,Films,1,2 Hearts
Argentina,AR,2023-05-21,Films,1,The Mother
Argentina,AR,2023-05-14,Films,1,The Mother
Argentina,AR,2023-05-07,Films,1,Wrong Place
Argentina,AR,2023-04-30,Films,1,AKA
Argentina,AR,2023-04-23,Films,1,Let Him Go
Argentina,AR,2023-04-16,Films,1,Hunger
Argentina,AR,2023-04-09,Films,1,Murder Mystery 2
Argentina,AR,2023-04-02,Films,1,Murder Mystery 2
Argentina,AR,2023-03-26,Films,1,Still Time
Argentina,AR,2023-03-19,Films,1,Luther: The Fallen Sun
Argentina,AR,2023-03-12,Films,1,Luther: The Fallen Sun
Argentina,AR,2023-03-05,Films,1,We Have a Ghost
Argentina,AR,2023-02-26,Films,1,Army of One
Argentina,AR,2023-02-19,Films,1,Your Place or Mine
Argentina,AR,2023-02-12,Films,1,Your Place or Mine
Argentina,AR,2023-02-05,Films,1,The Hurricane Heist
Argentina,AR,2023-01-29,Films,1,Narvik
Argentina,AR,2023-01-22,Films,1,The Substitute
Argentina,AR,2023-01-15,Films,1,The Pale Blue Eye
Argentina,AR,2023-01-08,Films,1,Jumanji: The Next Level
Argentina,AR,2023-01-01,Films,1,Glass Onion: A Knives Out Mystery
Argentina,AR,2022-12-25,Films,1,Glass Onion: A Knives Out Mystery
Argentina,AR,2022-12-18,Films,1,The Marriage App
