country_name,country_iso2,week,category,weekly_rank,show_title,season_title
Argentina,AR,2025-02-09,TV,1,Envious,Envious: Season 2
Argentina,AR,2025-02-02,TV,1,The Night Agent,The Night Agent: Season 2
Argentina,AR,2025-01-26,TV,1,The Breakthrough,The Breakthrough: Limited Series
Argentina,AR,2025-01-19,TV,1,Squid Game,Squid Game: Season 2
Argentina,AR,2025-01-12,TV,1,Squid Game,Squid Game: Season 2
Argentina,AR,2025-01-05,TV,1,Squid Game,Squid Game: Season 2
Argentina,AR,2024-12-29,TV,1,Squid Game,Squid Game: Season 2
Argentina,AR,2024-12-22,TV,1,La Palma,La Palma: Limited Series
Argentina,AR,2024-12-15,TV,1,La Palma,La Palma: Limited Series
Argentina,AR,2024-12-08,TV,1,La Brea,La Brea: Season 1
Argentina,AR,2024-12-01,TV,1,The Empress,The Empress: Season 2
Argentina,AR,2024-11-24,TV,1,Love Is Blind: Argentina,Love Is Blind: Argentina: Season 1
Argentina,AR,2024-11-17,TV,1,Jake Paul vs. Mike Tyson,
Argentina,AR,2024-11-10,TV,1,Love Is Blind: Argentina,Love Is Blind: Argentina: Season 1
Argentina,AR,2024-11-03,TV,1,Territory,Territory: Season 1
Argentina,AR,2024-10-27,TV,1,Deceitful Love,Deceitful Love: Limited Series
Argentina,AR,2024-10-20,TV,1,Deceitful Love,Deceitful Love: Limited Series
Argentina,AR,2024-10-13,TV,1,Deceitful Love,Deceitful Love: Limited Series
Argentina,AR,2024-10-06,TV,1,Envious,Envious: Season 1
Argentina,AR,2024-09-29,TV,1,Envious,Envious: Season 1
Argentina,AR,2024-09-22,TV,1,Envious,Envious: Season 1
Argentina,AR,2024-09-15,TV,1,Ángel Di María: Breaking Down the Wall,Ángel Di María: Breaking Down the Wall: Season 1
Argentina,AR,2024-09-08,TV,1,Breathless,Breathless: Season 1
Argentina,AR,2024-09-01,TV,1,The Accident,The Accident: Season 1
Argentina,AR,2024-08-25,TV,1,The Accident,The Accident: Season 1
Argentina,AR,2024-08-18,TV,1,Emily in Paris,Emily in Paris: Season 4
Argentina,AR,2024-08-11,TV,1,A Good Girl's Guide to Murder,A Good Girl's Guide to Murder: Season 1
Argentina,AR,2024-08-04,TV,1,A Good Girl's Guide to Murder,A Good Girl's Guide to Murder: Season 1
Argentina,AR,2024-07-28,TV,1,Cobra Kai,Cobra Kai: Season 6
Argentina,AR,2024-07-21,TV,1,Cobra Kai,Cobra Kai: Season 6
Argentina,AR,2024-07-14,TV,1,Desperate Lies,Desperate Lies: Season 1
Argentina,AR,2024-07-07,TV,1,The Turkish Passion,The Turkish Passion: Season 1
Argentina,AR,2024-06-30,TV,1,Gangs of Galicia,Gangs of Galicia: Season 1
Argentina,AR,2024-06-23,TV,1,Bridgerton,Bridgerton: Season 3
Argentina,AR,2024-06-16,TV,1,Bridgerton,Bridgerton: Season 3
Argentina,AR,2024-06-09,TV,1,Raising Voices,Raising Voices: Limited Series
Argentina,AR,2024-06-02,TV,1,Raising Voices,Raising Voices: Limited Series
Argentina,AR,2024-05-26,TV,1,Bridgerton,Bridgerton: Season 3
Argentina,AR,2024-05-19,TV,1,Bridgerton,Bridgerton: Season 3
