category,title,director,image_director,cast1,image_cast1,cast2,image_cast2,cast3,image_cast3,image_title
Oscar,The Godfather,Francis Ford Coppola,https://image.tmdb.org/t/p/w500/IwGgkmW6IoJ9vuNF0T9CU3FYUX.jpg,Marlon Brando,https://image.tmdb.org/t/p/w500/fuTEPMsBtV1zE98ujPONbKiYDc2.jpg,Al Pacino,https://image.tmdb.org/t/p/w500/fMDFeVf0pjopTJbyRSLFwNDm8Wr.jpg,James Caan,https://image.tmdb.org/t/p/w500/v3flJtQEyczxENi29yJyvnN6LVt.jpg,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
Oscar,The Sting,George Roy Hill,https://image.tmdb.org/t/p/w500/4DMJLc6Y2eVgoFyjmNDFygQBXCV.jpg,Paul Newman,https://image.tmdb.org/t/p/w500/bP2fByqNR7BorsUNuD6nSm0u2vJ.jpg,Robert Redford,https://image.tmdb.org/t/p/w500/hNiy78lk26xTE6tjisSCowcOVw0.jpg,Robert Shaw,https://image.tmdb.org/t/p/w500/bU4IJ4J1mgrriRTdQ4BOemoHvtt.jpg,https://image.tmdb.org/t/p/w500/ckmYng37zey8INYf6d10cVgIG93.jpg
Oscar,The Godfather Part II,Francis Ford Coppola,https://image.tmdb.org/t/p/w500/IwGgkmW6IoJ9vuNF0T9CU3FYUX.jpg,Al Pacino,https://image.tmdb.org/t/p/w500/fMDFeVf0pjopTJbyRSLFwNDm8Wr.jpg,Robert Duvall,https://image.tmdb.org/t/p/w500/ybMmK25h4IVtfE7qrnlVp47RQlh.jpg,Diane Keaton,https://image.tmdb.org/t/p/w500/tnx7pJqisfAzvXOR5wHQsbnH9XH.jpg,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg
Oscar,Ordinary People,Robert Redford,https://image.tmdb.org/t/p/w500/hNiy78lk26xTE6tjisSCowcOVw0.jpg,Donald Sutherland,https://image.tmdb.org/t/p/w500/hHd64HbSwxjfnNfPbIPeboFApfS.jpg,Mary Tyler Moore,https://image.tmdb.org/t/p/w500/v4tIqWFbCcvqLrFhhHbeelR5f1l.jpg,Judd Hirsch,https://image.tmdb.org/t/p/w500/7rJ0TZfMoPLTcO203tHhE6tcPKP.jpg,https://image.tmdb.org/t/p/w500/8CFPYcRatQFFysCjQanqYMQyS2Y.jpg
Oscar,Gandhi,Richard Attenborough,https://image.tmdb.org/t/p/w500/mJGvNS69xUqiNRybKzPl2Zuxe9Z.jpg,Ben Kingsley,https://image.tmdb.org/t/p/w500/vQtBqpF2HDdzbfXHDzR4u37i1Ac.jpg,Candice Bergen,https://image.tmdb.org/t/p/w500/nElAkiKaYlO039KgvWVZAC1fHTk.jpg,Edward Fox,https://image.tmdb.org/t/p/w500/mRAgZvRscftn6roAKdLQwrrrWrS.jpg,https://image.tmdb.org/t/p/w500/rOXftt7SluxskrFrvU7qFJa5zeN.jpg
Oscar,Gandhi,Richard Attenborough,https://image.tmdb.org/t/p/w500/mJGvNS69xUqiNRybKzPl2Zuxe9Z.jpg,Ben Kingsley,https://image.tmdb.org/t/p/w500/vQtBqpF2HDdzbfXHDzR4u37i1Ac.jpg,Candice Bergen,https://image.tmdb.org/t/p/w500/nElAkiKaYlO039KgvWVZAC1fHTk.jpg,Edward Fox,https://image.tmdb.org/t/p/w500/mRAgZvRscftn6roAKdLQwrrrWrS.jpg,https://image.tmdb.org/t/p/w500/rOXftt7SluxskrFrvU7qFJa5zeN.jpg
Oscar,Out of Africa,Sydney Pollack,https://image.tmdb.org/t/p/w500/l6Sq7iEakN4eCeMXyZuloc5VIJO.jpg,Robert Redford,https://image.tmdb.org/t/p/w500/hNiy78lk26xTE6tjisSCowcOVw0.jpg,Meryl Streep,https://image.tmdb.org/t/p/w500/emAAzyK1rJ6aiMi0wsWYp51EC3h.jpg,Klaus Maria Brandauer,https://image.tmdb.org/t/p/w500/mE4polIdi4QdzDvIuHgfM37n7l9.jpg,https://image.tmdb.org/t/p/w500/jFTnvLjRE7PWtG3BryZJd4FvZ2n.jpg
Oscar,The Last Emperor,Bernardo Bertolucci,https://image.tmdb.org/t/p/w500/b0W7CtXxbo24sX8TPnDlLTYfc2E.jpg,John Lone,https://image.tmdb.org/t/p/w500/cO62O0mZGCvR0y5zM5oI2rUDhto.jpg,Joan Chen,https://image.tmdb.org/t/p/w500/yV8glhrxb5m9Uwz4n63JPdVjWvj.jpg,Peter O'Toole,https://image.tmdb.org/t/p/w500/bk2AIN5yjqkthDUxUH0Q4U2ekRH.jpg,https://image.tmdb.org/t/p/w500/7TILJhdeJAaEyDiwvJZMo9SQBoe.jpg
Oscar,The Accused,Jonathan Kaplan,https://image.tmdb.org/t/p/w500/zpaZ3UpWRt3HrnR1Mv8u9Mg54Pa.jpg,Jodie Foster,https://image.tmdb.org/t/p/w500/resiaRfWvj4N84TgJi9DPOafCpq.jpg,Kelly McGillis,https://image.tmdb.org/t/p/w500/150q3jC4YF1pzSCRe29Kn12W9Ao.jpg,Bernie Coulson,https://image.tmdb.org/t/p/w500/f2wEUrV4RrG4IH4cn1hT7ogR0ZA.jpg,https://image.tmdb.org/t/p/w500/5DlWHYb5Q65GaHYHDo6PqGOuoF1.jpg
Oscar,Driving Miss Daisy,Bruce Beresford,https://image.tmdb.org/t/p/w500/p5p1YhKTh1EOSvf1NO96oBQI2Ll.jpg,Morgan Freeman,https://image.tmdb.org/t/p/w500/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,Jessica Tandy,https://image.tmdb.org/t/p/w500/4qgLUP4sFC3xnzzcpyQcv8UKZAv.jpg,Dan Aykroyd,https://image.tmdb.org/t/p/w500/iVMmeVJx8IpCEjlGBZWzIWvX5Qo.jpg,https://image.tmdb.org/t/p/w500/iaCzvcY42HihFxQBTZCTKMpsI0P.jpg
Oscar,Scent of a Woman,Martin Brest,https://image.tmdb.org/t/p/w500/bqR72AZbmi0CnLarTpOv9YA9IzG.jpg,Al Pacino,https://image.tmdb.org/t/p/w500/fMDFeVf0pjopTJbyRSLFwNDm8Wr.jpg,Chris O'Donnell,https://image.tmdb.org/t/p/w500/KvWBFg1aMBdu4X2PihXYL8xcFD.jpg,James Rebhorn,https://image.tmdb.org/t/p/w500/jRdR3q28gTPQU6eWRgiIqzGuMKU.jpg,https://image.tmdb.org/t/p/w500/4adI7IaveWb7EidYXfLb3MK3CgO.jpg
