week,category,weekly_rank,show_title,weekly_views,keywords,title_image_url
2025-02-09,Films (English),1,Kinda Pregnant,25100000.0,pregnant,https://image.tmdb.org/t/p/w500/k2Lq3rCJ7P9gk5Df9of9kqr9IJM.jpg
2025-02-09,Films (English),2,Back in Action,9200000.0,"spy, gun fight, spy action",https://image.tmdb.org/t/p/w500/3L3l6LsiLGHkTG4RFB2aBA6BttB.jpg
2025-02-09,Films (English),3,Shrek,7300000.0,"princess, based on novel or book, magic, fairy tale, donkey, liberation, lordship, prince, castle, villain, robin hood, enchantment, swamp, parody, anthropomorphism, dragon, woman director, ogre, absurd, cartoon donkey",https://image.tmdb.org/t/p/w500/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg
2025-02-09,Films (English),4,Shrek 2,5500000.0,"prison, princess, magic, kingdom, fairy tale, liberation, transformation, honeymoon, prince, villain, parents-in-law, enchantment, sequel, anthropomorphism, dragon, ogre, fairy godmother, cartoon donkey",https://image.tmdb.org/t/p/w500/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg
2025-02-09,Films (English),5,The Menu,4400000.0,"psychopath, obsession, mass murder, restaurant, dark comedy, revenge, food, dinner, chef, food critic, remote island, french cuisine, culinary arts, fine dining, haute cuisine, direct, tense, condescending, foreboding, horrified, pessimistic",https://image.tmdb.org/t/p/w500/fPtUgMcLIboqlTlPrq0bQpKK8eq.jpg
2025-02-09,Films (English),6,Spider-Man: No Way Home,4200000.0,"new york city, hero, showdown, magic, loss of loved one, secret identity, superhero, villain, portal, sequel, vigilante, superhero team, masked vigilante, spider web, alternative reality, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), fight for justice, teen superhero, superhero teamup, returning hero, crossover, teamwork, admiring",https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg
2025-02-09,Films (English),7,Spider-Man: No Way Home (Extended Version),3000000.0,,
2025-02-09,Films (English),8,The Secret Life of Pets 2,2900000.0,"new york city, friendship, villain, sequel, dog, talking animal, illumination",https://image.tmdb.org/t/p/w500/s9xg4V5EDKiphgIksVJ9gewBM11.jpg
2025-02-09,Films (English),9,Shrek the Third,2800000.0,"ship, island, ambush, kingdom, boarding school, liberation of prisoners, pregnancy, traitor, shipwreck, stage, sadness, transformation, assault, prince, villain, theater play, tricks, heir to the throne, conciliation, melancholy, sequel, teacher, best friend, dragon, cowardliness, capture, wizard, duringcreditsstinger, ogre, vindictive, cartoon donkey, villains, disapproving, disgusted",https://image.tmdb.org/t/p/w500/n4SexGGQzI26E269tfpa80MZaGV.jpg
2025-02-09,Films (English),10,The Sentinel,2600000.0,"usa president, washington dc, usa, the white house, blackmail, toronto, canada, protection, treason, on the run, first lady, mole, love affair, framed for a crime, mentor protégé relationship, intelligence agent, assassination attempt, u.s. secret service agent, death threats, assassination plot, international summit",https://image.tmdb.org/t/p/w500/wPFVeVYuFhCnnOAZZHpMROCbssE.jpg
